name,id,portal_name,street,street2,zipcode,city,state,county,country,lat,lon,type,description,url,phone,email,archived,status,activityName,activityCnt,role,contactNames,contactEmails,courses,sectionCnt,unitNames,unitCnt,externalId,programs
Archdiocese of Indianapolis: Nativity Catholic School,f1f7f343-06b4-45d2-5017-88561715583c,Indianapolis,3310 S Meadow Dr,,46239,Indianapolis,IN,Marion,US,39.719911,-86.038821,education: k-12,,http://school.nativityindy.org/,(317) 357-1459,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['Division of Student Affairs', 'School of Liberal Arts', 'School of Education']",1,C265,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Roncalli High School,a8de92fd-712d-4d63-4ab2-90e68750406a,Indianapolis,3300 Prague Rd,,46227,Indianapolis,IN,Marion,US,39.690534,-86.10741,education: k-12,,http://www.roncalli.org,(317) 787-8277,,False,approved,['Special Programs for Academic Nurturing (SPAN)'],1,"{""Provide access to target populations""}",[' '],[''],,1,"['Special Programs for Academic Nurturing', 'University College']",1,C320,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Saint Malachy School,545fdbe0-0d84-423f-43aa-7c2755a2ced1,Indianapolis,7410 N County Road 1000 E,,46112,Brownsburg,IN,Hendricks,US,39.87092,-86.35351,education: k-12,,http://stmalachy.org/school/,(317) 852-2242,,False,approved,['We the People: The Citizen and the Constitution'],1,"{""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],,1,"[""Paul O'Neill School of Public and Environmental Affairs""]",1,B285,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Saint Roch School,e3e9d4ba-a3e0-4b7b-5e84-8be966c3e0bb,Indianapolis,3603 S Meridian St,,46217,Indianapolis,IN,Marion,US,39.714261,-86.158077,education: k-12,,http://www.strochindy.org/,(317) 784-9144,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'School of Education', 'Division of Student Affairs']",1,C310,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Scecina Memorial High School,7207caec-8a0e-4658-740b-570716f9125a,Indianapolis,5000 Nowland Ave,,46201,Indianapolis,IN,Marion,US,39.786931,-86.085348,education: k-12,,http://www.scecina.org,(317) 356-6377,,False,approved,['Special Programs for Academic Nurturing (SPAN)'],1,"{""Provide access to target populations""}",[' '],[''],,1,"['University College', 'Special Programs for Academic Nurturing']",1,C710,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Avon Community School Corp: Avon High School,fdcfa96a-9838-4770-47d7-8b1b293f464b,Indianapolis,7575 E CR 150 S,,46123,Avon,IN,Hendricks,US,39.739222,-86.388078,education: k-12,,http://www.avon-schools.org/Domain/8,(317) 544-5000,,False,approved,['Special Programs for Academic Nurturing (SPAN)'],1,"{""Provide access to target populations""}",[' '],[''],,1,"['Special Programs for Academic Nurturing', 'University College']",1,3315-2737,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Bartholomew Con School Corp: Columbus North High School,927a0c72-9392-451e-4aee-a241351d7727,Indianapolis,1400 25th St,,47201,Columbus,IN,Bartholomew,US,39.224066,-85.910551,education: k-12,,http://www.bcsc.k12.in.us/northhs/site/default.asp,(812) 376-4432,,False,approved,"['Education Counseling Internship: Creekside Elementary School/Columbus North High School', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations"",""Provide information materials""},{""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work""}","[' ', ' ']","['', '']",['EDUC-G550-20875'],1,"['Luddy School of Informatics, Computing, and Engineering', 'School of Education']",1,0365-0397,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Bartholomew Con School Corp: Northside Middle School,ca02ba89-ed79-4e01-50d7-bb91d69062d9,Indianapolis,1400 27th St,,47201,Columbus,IN,Bartholomew,US,39.227671,-85.90985,education: k-12,,http://www.bcsc.k12.in.us/northsidems/site/default.asp,(812) 376-4405,,False,approved,"['We the People: The Citizen and the Constitution', 'iDEW: Computing by Design Summer Workshop']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', ""Paul O'Neill School of Public and Environmental Affairs""]",1,0365-0395,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Baxter YMCA,a3ea0cf9-290f-4a59-661b-b9ee58e3a635,Indianapolis,7900 Shelby St,,46227,Indianapolis,18,Marion County,US,39.652055,-86.140508,nonprofit,,,,,False,approved,['B235 Community Clinicals'],1,"{""Evaluate or provide feedback on students' work"",""Supervise the activity"",""Supervise students""}",[' '],[''],['NURS-B235-All Spring Sections'],1,['NURS: Science of Nursing Care'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Beech Grove City Schools: Beech Grove Middle School,cc030dba-2e38-4c9b-5e05-7872e729241f,Indianapolis,1248 Buffalo St,,46107,Beech Grove,IN,Marion,US,39.725793,-86.095853,education: k-12,,http://www.bgcs.k12.in.us/bgms/home.html,(317) 784-6649,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'Division of Student Affairs', 'School of Education']",1,5380-5453,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Beech Grove City Schools: Beech Grove Sr High School,ecfd5405-418d-4066-58bb-7f6112e86733,Indianapolis,5330 Hornet Ave,,46107,Beech Grove,IN,Marion,US,39.71155,-86.076301,education: k-12,,http://www.bgcs.k12.in.us/bghs/bghs.htm,(317) 786-1447,,False,approved,"['Forensic and Investigative Sciences Outreach', 'Special Programs for Academic Nurturing (SPAN)']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Provide access to target populations""},{""Provide access to target populations""}","[' ', ' ']","['', '']",,1,"['SCI: Forensic & Investigative Sciences Program', 'University College', 'Special Programs for Academic Nurturing']",1,5380-5449,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Benjamin Harrison Presidential Site,9a52c550-faef-4186-4720-386201f3d9f4,Indianapolis,1230 N. Deleware St.,,46202.0,Indianapolis,IN,,US,39.78409,-86.1544,nonprofit,"The Benjamin Harrison Home, in the Old Northside Historic District of Indianapolis, Indiana, was the home of the Twenty-third President of the United States, Benjamin Harrison.",http://www.presidentbenjaminharrison.org/,,,False,approved,['Central Indiana Wikipedia Partnership'],1,"{""Identify areas of need"",""Discuss how to work together"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations""}",[' '],[''],,1,['IU Indianapolis University Library'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development']"
Big Brothers Big Sisters of America,0df90a49-3381-4c1f-41ff-420c0c9439de,Indianapolis,1433 N Meridian St,,46202.0,Indianapolis,IN,Marion County,US,39.786758,-86.156963,nonprofit,"<p>Big Brothers Big Sisters helps children realize their potential and build their futures. We nurture children and strengthen communities. And we couldn't do any of it without you. Depends on the program the student chooses to work with.Internships offered in multiple depts: BBBS, Teen Court, Afterschool Program, and Resource and Referral. This are unpaid Internships offered in Fall, Spring and Summer.</p>",https://www.bbbs.org/,(317) 921-2201,,False,approved,['Health Sciences Internships'],1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Supervise students""}",[' '],['hmullenix@casyonline.org'],['HLSC-H495-Fall 2024-Spring 2025'],1,['School of Health and Human Sciences'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development']"
Big Brothers Big Sisters of Central Indiana,6b6b3753-5620-4363-5bab-12c155a729c1,Indianapolis,"2960 N. Meridian St., Suite 150",,46208.0,Indianapolis,IN,,US,39.80939,-86.158182,nonprofit,"The Big Brothers Big Sisters missionis to provide children facing adversity with strong and enduring, professionally supported 1-to-1 relationships that change their lives for the better, forever.",http://www.bebigforkids.org/site/c.6fIMIZMzFlJ0H/b.6547283/k.EF6B/Home_Page.htm,,,False,approved,['Health Sciences Internships'],1,"{""Identify areas of need"",""Set goals"",""Provide access to data"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['HLSC-H495-Fall 2024-Spring 2025'],1,['School of Health and Human Sciences'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development']"
Boys and Girls Clubs of America,284ad9a9-0911-48e6-7150-5a020dee7288,Indianapolis,1275 Peachtree Street NE,,30309,Atlanta,GA,Fulton County,US,33.789565,-84.383916,nonprofit,,,,,False,approved,"['IUSM AmeriCorps: Hoosier Public Health Corps', 'The Fundraising School Continuing Education Programs']",1,"{""Identify areas of need"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}, {""Set goals"",""Discuss how to work together""}",[' '],[''],,1,"['Lilly Family School of Philanthropy'], ['School of Medicine']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 3: Economic Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Brebeuf Jesuit Preparatory School,94c8db43-1b56-4889-68eb-5e7d5bbb0040,Indianapolis,2801 W 86th St,,46268,Indianapolis,IN,Marion,US,39.91048,-86.21016,education: k-12,,http://www.brebeuf.org,(317) 524-7050,,False,approved,['Special Programs for Academic Nurturing (SPAN)'],1,"{""Provide access to target populations""}",[' '],[''],,1,"['Special Programs for Academic Nurturing', 'University College']",1,C360,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Brownsburg Community School Corp: Brownsburg High School,037c1719-822f-403b-40a1-b985e1aa1f25,Indianapolis,1000 S. Odell St.,,46112,Brownsburg,IN,Hendricks,US,39.830922,-86.388146,education: k-12,"Brownsburg High School is a public high school in Brownsburg, Indiana. The school is located within the Brownsburg Community School Corporation, which is in Hendricks County.",http://www.brownsburg.k12.in.us/our-schools/high-schools/brownsburg-high-school,(317) 852-2258,,False,approved,"['Education Counseling Internship: Brownsburg High School', 'Special Programs for Academic Nurturing (SPAN)']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Provide access to target populations"",""Supervise students""},{""Provide access to target populations""}","[' ', ' ']","['', '']",['EDUC-G550-20875'],1,"['University College', 'Special Programs for Academic Nurturing', 'School of Education']",1,3305-2709,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Brownsburg Community School Corp: Reagan Elementary School,d7675b17-61e5-4c0c-7ccb-e6490bd2238c,Indianapolis,4845 Bulldog Way,,46112,Brownsburg,IN,Hendricks,US,39.833592,-86.375845,education: k-12,,http://www.brownsburg.k12.in.us/index.php/our-schools/elementaries/reagan,(317) 852-1060,,False,approved,['Education Counseling Practicum: Reagan Elementary School'],1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['EDUC-G524-Spring 2025'],1,['School of Education'],1,3305-2714,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Carmel Clay Schools: Carmel High School,96e78e9d-8b13-4fb7-7b83-0036f1b66365,Indianapolis,520 E. Main St.,,46032,Carmel,IN,Hamilton,US,39.979635,-86.11987,education: k-12,"Carmel High School is a public high school in Carmel, Indiana, United States. The high school is part of the Carmel Clay School District and has an enrollment of 5,010 students as of 2015Ð16.",http://www.ccs.k12.in.us/chs/home,(317) 846-7721,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials"",""Supervise the activity""}","[' ', ' ']","['', '']",,1,"['Special Programs for Academic Nurturing', 'Luddy School of Informatics, Computing, and Engineering', 'University College']",1,3060-2505,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Carmel Clay Schools: Carmel Middle School,97b7f938-5bec-4d22-6020-73a1dfdb7976,Indianapolis,300 S Guilford Rd,,46032,Carmel,IN,Hamilton,US,39.97506,-86.142318,education: k-12,,https://www.ccs.k12.in.us/cam,(317) 846-7331,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'School of Education', 'Division of Student Affairs']",1,3060-2511,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Carmel Clay Schools: Clay Center Elementary School,917c226b-68b4-40a9-7a4c-ee21978ed1a8,Indianapolis,12025 Clay Center Road,,46032,Carmel,18,Hamilton County,US,39.96207,-86.17721,nonprofit,,https://www.ccs.k12.in.us/cce,,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'School of Education', 'Division of Student Affairs']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Carmel Clay Schools: Clay Middle School,dafaecef-07ed-400b-7981-5975cd4f4b77,Indianapolis,5150 E 126th St,,46033,Carmel,IN,Hamilton,US,39.972383,-86.082308,education: k-12,,https://www.ccs.k12.in.us/clm,(317) 844-7251,,False,approved,"['Education Counseling Practicum: Clay Middle School', 'Scripps National Spelling Bee']",1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}, {""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['EDUC-G524-Spring 2025 - Fall 2025'],2,"['Division of Student Affairs', 'School of Education', 'School of Liberal Arts'], ['School of Education']",2,3060-2506,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education', 'IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Carmel Clay Schools: Creekside Middle School,b62b5cf5-880a-4f24-7be5-e4a10d587702,Indianapolis,3525 W 126th St,,46032,Carmel,IN,Hamilton,US,39.968309,-86.219549,education: k-12,,https://www.ccs.k12.in.us/crm,(317) 733-6420,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Education', 'Division of Student Affairs', 'School of Liberal Arts']",1,3060-2520,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Center Grove Community School Corp: Center Grove High School,60ee5b56-5b79-468b-6d2c-24122b23a2aa,Indianapolis,2717 S. Morgantown Rd.,,46143,Greenwood,IN,Johnson,US,39.576276,-86.195153,education: k-12,"Center Grove High School is a high school located in Greenwood, Indiana.",http://www.centergrove.k12.in.us/Domain/77,(317) 881-0581,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Special Programs for Academic Nurturing', 'University College', 'Luddy School of Informatics, Computing, and Engineering']",1,4205-3437,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Children's Museum of Indianapolis,ed75c6cd-f3db-434d-6d49-88ca37bf60b4,Indianapolis,3000 N. Meridian St.,,46208,Indianapolis,IN,,US,39.810912,-86.157767,for-profit,"The Children's Museum of Indianapolis is the world's largest children's museum. It is located at 3000 North Meridian Street, Indianapolis, Indiana, United States, in the United Northwest Area neighborhood of the city.",https://www.childrensmuseum.org/,,,False,approved,['SEAL Indiana'],1,"{""Promote event to target populations"",""Provide volunteer site or space""}",[' '],[''],,1,"['School of Dentistry', 'IUSD: Department of Cariology, Operative Dentistry, and Dental Public Health', 'Center for Service and Learning']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Christamore House,23f396bd-70a9-4b74-6551-b859631bb2ed,Indianapolis,502 N. Tremont Street,,46222.0,Indianapolis,IN,,US,39.77505,-86.201416,nonprofit,,,,,False,approved,"['Health Sciences Internships', 'IU Student Success Corps (In Person)']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Provide volunteer site or space""}, {""Identify areas of need"",""Set goals"",""Provide access to data"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['HLSC-H495-Fall 2024-Spring 2025'],2,"['Family, School, and Neighborhood Engagement', 'Office of Workforce and Community Engagement'], ['School of Health and Human Sciences']",2,X00147,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Cicoa Aging & In Home Solutions (CICOA),dee70578-51bd-4585-610c-00a44c6fbd95,Indianapolis,4755 Kingsway Dr.,,46205.0,Indianapolis,IN,,US,39.844175,-86.120178,nonprofit,"CICOA Aging & In-Home Solutions empowers older adults, those of any age with a disability and family caregivers to achieve the greatest possible independence, dignity and quality of life.",http://cicoa.org/,,,False,approved,"['Copy of 13th Annual Martin Family Alzheimer’s Disease Caregiver Symposium', 'Health Sciences Internships']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Assist in raising funds for the activity"",""Co-educate students"",Co-investigator,""Discuss how to work together"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Provide information materials""}, {""Identify areas of need"",""Set goals"",""Provide access to data"",""Provide access to target populations"",""Supervise students""}","[' '], ['']",[''],['HLSC-H495-Fall 2024-Spring 2025'],2,"['Indiana Alzheimer Disease Center', 'School of Social Work'], ['School of Health and Human Sciences']",2,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Citizens Energy Group,8c23a652-a01e-4049-4f65-d2c6c6030e35,Indianapolis,2020 N Meridian St.,,46202,Indianapolis,IN,Marion County,US,39.794031,-86.158169,for-profit,,https://www.citizensenergygroup.com,(317) 924-3311,,False,approved,"['A Water Demand Prediction Model: Phase 1', 'A water demand prediction model: Phase 3']",1,"{""Identify areas of need"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Provide access to data"",""Provide information materials""},{""Identify areas of need"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Provide access to data""}","['NA NA', 'NA NA']","['NA@email.com', 'NA@email.com']",,1,"['School of Engineering and Technology', 'ENGT: Engineering Technology']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 3: Economic Development']"
Clark-Pleasant Community Sch Corp: Clark Elementary School,fd78df4a-ef87-4031-79f5-2b20a758696c,Indianapolis,5764 E 700 N,,46131,Franklin,IN,Johnson,US,39.582632,-85.994642,education: k-12,,http://www.cpcsc.k12.in.us/ces/,(317) 535-8503,,False,approved,['Education Counseling Practicum: Clark Elementary School'],1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['EDUC-G524-Spring 2025 - Fall 2025'],1,['School of Education'],1,4145-3401,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
